City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,San Patricio,MX,85.41,broken clouds,19.22,-104.7,Hotel Cabo Blanco
13,Auki,SB,76.06,overcast clouds,-8.77,160.7,Auki Motel
14,Butaritari,KI,82.74,scattered clouds,3.07,172.79,Isles Sunset Lodge
17,Cayenne,GF,87.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
22,Jamestown,US,78.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
23,Caxito,AO,77.0,few clouds,-8.58,13.66,
31,Torbay,CA,77.0,broken clouds,47.67,-52.73,Gallows Cove
34,Hithadhoo,MV,82.67,broken clouds,-0.6,73.08,Scoop Guest House
37,Bengkulu,ID,76.55,light rain,-3.8,102.27,Grage Hotel Bengkulu
41,Beeville,US,87.01,scattered clouds,28.4,-97.75,Holiday Inn Express & Suites Beeville
43,Atuona,PF,77.63,overcast clouds,-9.8,-139.03,Villa Enata
45,Chuzhou,CN,82.0,light rain,32.32,118.3,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
59,Axim,GH,79.47,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
61,Magdalena,PH,82.99,few clouds,14.2,121.43,Bahay Ni Luz Bed & Breakfast
62,Uniao Dos Palmares,BR,75.2,broken clouds,-9.16,-36.03,Quilombo Hotel Fazenda
63,Luena,AO,81.36,clear sky,-11.78,19.92,Hotel Kandamba
65,Albany,US,77.0,overcast clouds,42.6,-73.97,
67,Burhar,IN,79.3,broken clouds,23.22,81.53,REPL Camp
68,San Cristobal,VE,75.2,fog,7.77,-72.22,Pirineos
69,Sur,OM,86.81,clear sky,22.57,59.53,Sur Plaza Hotel
70,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
76,Sao Filipe,CV,80.87,light rain,14.9,-24.5,Tortuga B&B
79,Vanimo,PG,79.18,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
80,San Policarpo,PH,81.95,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
83,Sorong,ID,78.58,light rain,-0.88,131.25,The Waigo Hotel
84,Teacapan,MX,86.31,clear sky,22.55,-105.75,Hotel los Mangos
85,Carballo,ES,87.01,clear sky,43.21,-8.69,Pazo do Souto
90,Faanui,PF,77.56,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
