City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,-46.28,169.85,45.0,68,82,1.99,broken clouds
1,Dikson,RU,73.51,80.55,42.19,93,20,12.64,few clouds
2,Vaini,TO,-21.2,-175.2,72.09,92,100,27.13,moderate rain
3,Punta Arenas,CL,-53.15,-70.92,46.0,65,20,16.11,few clouds
4,San Patricio,MX,19.22,-104.7,85.41,64,67,2.89,broken clouds
5,Necochea,AR,-38.55,-58.74,53.28,93,100,10.16,overcast clouds
6,Yellowknife,CA,62.46,-114.35,48.2,81,75,10.29,broken clouds
7,Chuy,UY,-33.7,-53.46,61.56,93,100,8.5,overcast clouds
8,Klaksvik,FO,62.23,-6.59,46.4,70,65,17.22,broken clouds
9,Half Moon Bay,US,37.46,-122.43,63.0,93,90,4.7,overcast clouds
10,Port Alfred,ZA,-33.59,26.89,65.59,78,0,16.17,clear sky
11,Ushuaia,AR,-54.8,-68.3,41.0,60,40,19.46,scattered clouds
12,Bambous Virieux,MU,-20.34,57.76,72.0,73,40,17.22,scattered clouds
13,Auki,SB,-8.77,160.7,76.06,85,100,6.67,overcast clouds
14,Butaritari,KI,3.07,172.79,82.74,74,26,13.76,scattered clouds
15,Liverpool,GB,53.41,-2.98,64.99,64,17,5.99,few clouds
16,Barrow,US,71.29,-156.79,28.78,96,0,2.06,clear sky
17,Cayenne,GF,4.93,-52.33,87.8,62,16,6.93,few clouds
18,Namibe,AO,-15.2,12.15,68.58,82,26,10.36,scattered clouds
19,Provideniya,RU,64.38,-173.3,40.14,73,85,4.85,overcast clouds
20,Khatanga,RU,71.97,102.5,47.62,81,100,7.94,overcast clouds
21,Khorinsk,RU,52.17,109.77,53.62,89,89,1.88,overcast clouds
22,Jamestown,US,42.1,-79.24,78.01,83,1,3.36,clear sky
23,Caxito,AO,-8.58,13.66,77.0,73,20,9.17,few clouds
24,New Norfolk,AU,-42.78,147.06,48.0,72,84,1.43,broken clouds
25,Busselton,AU,-33.65,115.33,60.01,84,88,25.57,light rain
26,Norman Wells,CA,65.28,-126.83,41.0,100,75,3.13,fog
27,Bluff,NZ,-46.6,168.33,45.0,67,52,8.01,broken clouds
28,Slave Lake,CA,55.28,-114.77,44.6,93,90,6.98,overcast clouds
29,Tautira,PF,-17.73,-149.15,71.6,73,20,2.24,few clouds
30,Rikitea,PF,-23.12,-134.97,73.04,74,59,17.85,broken clouds
31,Torbay,CA,47.67,-52.73,77.0,69,75,10.29,broken clouds
32,Dustlik,UZ,40.52,68.04,69.24,22,49,4.68,scattered clouds
33,Bredasdorp,ZA,-34.53,20.04,64.0,71,1,1.01,clear sky
34,Hithadhoo,MV,-0.6,73.08,82.67,77,63,12.48,broken clouds
35,Mataura,NZ,-46.19,168.86,45.0,67,68,8.01,broken clouds
36,Saint George,US,37.1,-113.58,57.2,28,1,19.46,clear sky
37,Bengkulu,ID,-3.8,102.27,76.55,90,100,6.29,light rain
38,El Alto,PE,-4.27,-81.21,66.2,72,87,16.11,overcast clouds
39,Port Elizabeth,ZA,-33.92,25.57,64.4,77,20,24.16,few clouds
40,Slobodskoy,RU,58.73,50.18,53.89,79,100,8.79,light rain
41,Beeville,US,28.4,-97.75,87.01,94,40,5.82,scattered clouds
42,Kapaa,US,22.08,-159.32,73.99,59,47,13.02,scattered clouds
43,Atuona,PF,-9.8,-139.03,77.63,70,94,13.8,overcast clouds
44,Nhulunbuy,AU,-12.23,136.77,71.6,88,60,5.82,broken clouds
45,Chuzhou,CN,32.32,118.3,82.0,59,93,4.72,light rain
46,Tiksi,RU,71.69,128.87,42.93,71,9,8.88,clear sky
47,Cape Town,ZA,-33.93,18.42,66.99,59,2,13.87,clear sky
48,Carnarvon,AU,-24.87,113.63,64.4,100,5,3.36,clear sky
49,Ilulissat,GL,69.22,-51.1,34.09,79,88,6.33,overcast clouds
50,Hobart,AU,-42.88,147.33,48.2,81,90,4.7,overcast clouds
51,Qaanaaq,GL,77.48,-69.36,29.79,90,96,7.94,overcast clouds
52,Toora-Khem,RU,52.47,96.11,40.23,90,90,2.95,overcast clouds
53,Lebu,CL,-37.62,-73.65,54.18,79,77,11.34,broken clouds
54,Mehamn,NO,71.04,27.85,50.95,70,43,7.87,scattered clouds
55,Vardo,NO,70.37,31.11,52.23,80,82,9.15,broken clouds
56,Saskylakh,RU,71.92,114.08,43.77,71,0,10.09,clear sky
57,Kaupanger,NO,61.18,7.24,51.44,71,100,4.79,overcast clouds
58,Saint-Pierre,RE,-21.34,55.48,71.6,73,1,29.97,clear sky
59,Axim,GH,4.87,-2.24,79.47,77,89,11.63,overcast clouds
60,Thompson,CA,55.74,-97.86,44.6,75,75,11.41,broken clouds
61,Magdalena,PH,14.2,121.43,82.99,88,20,3.36,few clouds
62,Uniao Dos Palmares,BR,-9.16,-36.03,75.2,94,75,8.05,broken clouds
63,Luena,AO,-11.78,19.92,81.36,15,0,6.42,clear sky
64,Nome,US,64.5,-165.41,37.0,79,0,5.01,clear sky
65,Albany,US,42.6,-73.97,77.0,79,100,3.6,overcast clouds
